昵称,学历,城市,经验,薪资,备注
Dam*,本,上海,10年,30k,
hk*,本,长沙,2.5年,15k,
爱唱*,专,湖北,27应届,实习,专升本，本大三
奇*,本,杭州,8年,23k,
Almu*,本,合肥,3.5年,25w/年,
LJH*,本,上海,6年,20w/年,
mom*,专,绍兴,2.5年,6k,专升本
fearl*,专,成都,2年,9.5k,
刺猬*,专,深圳,3.5年,14k,
执*,中专,上海,7年,13k,gap1年 24.9~25.9
Gordon*,本,广州,6年,14k,
IT*,本,重庆,8年,22k,离职状态
头号*,专,广州,5年,8k,
来去*,硕士,上海,26应届,,小厂、中厂实习
Summe*,本,西安,4.5年,11k,
莫须*,本,成都,7年,15k,
Clun*,本,上海,11年,23k,
壹万*,专,北京,1年,12k,
war*,本,深圳,0.5年,13k,
Sop*,本,深圳,1年,11.5k,
.*,本,广州,3.5年,17k,
星*,专,北京,10年,18k,
hnld*,硕,南京,7年,26k,
旧时*,初中,深圳,8年+,20k,自考专
下饭*,硕,北京,26应届,28k,
用户57*,专,深圳,26应届,,专升本
远*,专,深圳,4年,8k（成都）,待业
实在*,本,苏州,5年,11k,
手机*,本科,北京,7年,25k,
杨*,本,杭州,4年,15k,军工外包
蒜泥*,专,深圳,4年,11.5k,
用户5*,专,苏州,4年,20k,电网，专升本
子非*,专,苏州,4年,13k,专升本
不一*,专,包头,4年,6k,
志明*,专,成都,7年,16.5k,专升本
随心*,专,珠海,8年,15k,银行外包
Aab*,本,广州,3.5年,20k,
2019*,本,大连,8年,17k（北京）,
夜航*,专,深圳,0,8k,转行
ward*,本,深圳,0.5年,13k,
wezi*,本,长沙,3年,7k,离职
116*,本,厦门,10年,28k（远程）,
蓝*,本,沈阳,26应届,,
心*,本,上海,4年,15k,
无*,本,北京,1年,18k,
Big*,本,成都,5年,10k,
守*,初,成都,12年,120k,
As*,本,上海,4.5年,20k,
林*,本,杭州,4.5年,22k,非全读研
Blu*,硕,沈阳,1年,8k,Unity 3D
唐*,本,天津,4年,13k,离职
神也*,硕,西安,27应届,,
仰望*,硕,北京,<1年,28k,某大厂，移动端，RN
休*,本,北京,10年,60k,"去年大厂离职
gap：7个月"
不吃*,本,鹤岗,3个月,2k,php没问题，学前端，剪辑
不悔*,本,武汉,3年,10k,
Riv*,本,上海,3.5年,14k,入职10k
解*,本,上海,26应届,,
再度*,硕,西安,2.5年,20k,制造业
海诺*,本,广州,3年,10k,离职
一岁*,专,北京,9年,26k,离职
Imm*,本,杭州,0,,毕业1年无工作
呼噜*,专,深圳,3年,7k（南宁）,专升本
优秀*,专,成都,3.5年,11k,准备离职
好奇*,本,武汉,26应届,19.5k,
怪*,专,长沙,6年,12k,
果*,本,北京,5年,16k,
皮皮*,本,,26应届,,
弯*,专,北京,7年,25k,被裁
mE*,专,成都,7年,15k,
三七*,本,成都,9年,23k,
Cod*,本,北京,4年,23k,
够*,本,杭州,5年,35k,
骑猪*,专,佛山,1.5年,8k,
拉拉*,中,苏州,4年,9k,
序言*,本,杭州,0.5年,8.5k,
no*,专,成都,3年,13k,全栈
lang*,专,青岛,26应届,,
松林*,专,黔东南,9年,"16k（广州）
3k（黔东南）",
蛋蛋*,本,杭州,4年,17k,
流光*,专,北京,5年,18k,
小鹏*,本,南京,3年,14k,
青青*,本,重庆,4年,9k,
吴*,本,上海,10年,50k,大厂
aha*,硕,27应届,,,
kai*,专,武汉,1年,4k,远程 兼职
温水*,中专,成都,6年,9k,
社会*,高,无锡,4年,13k,
TON*,本,26应届,,,
救*,本,27应届,,,
S*,专,天津,2.5年,9k,
北风*,本,湖州,26应届,,
是小*,专,长沙,7年,13k,
暂未*,本,徐州,3年,8.5k,
欣*,专,深圳,4年,20w/年,自由职业
蓝色*,专,深圳,0.5年,15k,大厂外包
辣椒*,本,长沙,3.5年,11k,
C*,专,郑州,26应届,,
星空*,专,广州,1.5年,3k,
小张*,专,南京,4年,13k,专升本
一只*,本,青岛,5年,10k,
梦里*,本,上海,3.5年,16k,焦虑型人格
🌈*,本,深圳,3年,42k,
deno*,专,深圳,7年,18k,
Barr*,本,贵阳,3.5年,7k,
素质*,本,上海,5年,24w/年,
吃瓜*,本,深圳,5.5年,17k*16,
禾明*,本,北京,26应届,,
ward*,本,深圳,0.5年,13k,
梦*,专,深圳,2.5年,18k,
Lesl*,专,广州,1年,12k,
Allen*,专,嘉兴,5.5年,20k,前端负责人，短剧头部
「从*,本,南京,5.5年,14k,
片刻*,中,广州,5年,13k,
嚣张*,专,武汉,6年,15k,
after*,本,深圳,7年,32k,
与光*,专,北京,3.5年,11k,
熙男*,初,深圳,7年,25k,半居家
忆,本,重庆,1.5年,7k,
Active*,本,北京,2年,13k,
骑车*,本,南京,5.5年,20k,
呆小*,本,北京,3年,21k,
h*,本,上海,3年,15k,
解离*,本,26应届,,,
Rober*,硕士,深圳,4.5年,32k,实时音视频
玫瑰*,本,成都,3年,8.5k,
小奥*,本,上海,5年,18k,
一点*,专,杭州,3年,9.5k,
做就*,专,广州,7年,18k,
遥望*,本,上海,3年,10k,
A🐔*,专,北京,3.5年,15.5k,webgis
无畏*,专,成都,4年,9k,
天天*,专,泉州,5年,9k,
Ben*,本,北京,3年,14k,
数学*,专,成都,4.5年,13k,自考本
烟*,专,杭州,5.5年,19k,专升本
南浔*,本,北京,4年,24k,
发发*,本,杭州,6年,17.5k,
别烦*,本,广州,4年,14.5k,
箴言*,本,宁波,3年,11k,制造业，python
只是*,本,南宁,4年,10k,
永*,本,杭州,5年,16.5k,
htf*,高二,在读,,,
烟梦*,本,深圳,26应届,14k,
一个*,本,北京,3年,12k,
Ai En*,本,上海,2.5年,18k,
P*,本,杭州,6年,50k,
未来*,专,成都,7年,23k,
Ben*,本,北京,3年,14k,
别烦*,本,广州,4年,14k,
吼吼*,专,成都,5年,13k,
晚睡*,本,郑州,5年,15k,
想养*,本,北京,4.5年,17k,
乌龟*,本,武汉,2年,12k,
阿轩*,专,武汉,26应届,,
qzuse*,本,北京,26应届,,
就止*,专,上海,2年,15.5k,专升本，大厂实习
飘向*,硕,北京,26应届,20k,中厂实习，桌面端应用，通信工具
梦里*,本,上海,3.5年,16k,
姝*,本,河南/鹤壁,10年,5k,
Jie*,本,成都,5.5年,20k,
聪聪*,高中,北京,6年,19k,自考本，空窗期1年
Bear*,高中,成都,8年,10k,
爱喝*,本,合肥,5年,9k,
...*,专,成都,5年,10k,专升本
洛*,专,深圳,2年,10k,
青江*,专,成都,0.5年,7k,
鱼子*,硕,上海,6年,42k,
全占*,高,成都,7年,28k,自考本，web3
噔噔*,本,成都,4.5年,29w/年,
用户*,初,济南,创业9年,20w+/年,
吉吉*,高,北京,4.5年,28k*16,自考本
www*,专,北京,26应届,7k,
亦一*,专,成都,3.5年,7.8k,自考本
之梦*,本,郑州,4年,27k,
初*,本,广西柳州,5.5年,14k,前端Leader
不一*,专,包头,4年,6k,
东东*,本,宁波,4年,11k,
隐衫*,本,杭州,转行,,
Shot*,本,东莞,2.5年,8k,
听雨*,本,广州,<1年,7k,
一个*,本211,杭州,3年,18.8k,离职回南昌
Ember*,本,成都,3年,7.5k,
已明*,本,上海,5年,25k,
怎*,本,杭州,5年,15k,
Xxx*,本,上海,6年,21.5k,
元*,本,深圳,26应届,,
顾*,专,东莞,1年,7.5k,
了*,本,郑州,7年,10k,
JIN*,专,杭州,4年,10k,
zl-*,本,深圳,9年,50k~60k,
苏苏*,专,郑州,6年,15k,
Ember*,本,成都,3年,7.5k,
蝶*,本,深圳,27应届,,
Barf*,本,杭州,26应届,,
丁丁*,本,北京,7年,20k,
积极*,本,北京,6年,18k,
已明*,本,上海,5年,25k,
皮卡丘*,专,长沙,26应届,,
哈哈*,本,深圳,5年,24k,
李悠*,本,北京,4.5年,11k,
pk*,本,,26应届,,
